#{"t_start": 1776887679.3879743, "env_id": "None"}
r,l,t
8.33924,12,1324.080635
31.361695,19,1325.042628
-364.130043,30,1326.554136
21.890801,16,1327.388766
-154.395226,44,1329.551535
38.523261,16,1330.424937
-770.309171,146,1337.719152
-151.739014,99,1342.662433
4.804984,11,1343.272815
-64.520568,139,1350.005341
19.696282,13,1350.677327
55.193007,20,1351.70699
99.354781,175,1360.192492
-63.281038,75,1364.010655
105.403243,19,1365.021665
-415.862503,103,1370.019293
57.599544,14,1370.741973
41.63406,20,1371.788854
36.207828,23,1372.957916
46.229356,17,1373.929048
374.886998,182,1382.680281
-440.701096,149,1389.798634
-149.120165,50,1392.25409
230.679214,63,1395.377932
49.678719,17,1396.275094
17.209073,13,1396.96765
47.463521,15,1397.755657
53.374364,20,1398.810877
112.898846,21,1399.867967
24.519294,18,1400.803349
49.64563,18,1401.71126
-121.559515,55,1404.348752
32.88198,13,1405.04593
27.161149,15,1405.881565
11.103017,16,1406.724262
34.877603,16,1407.558429
-546.261606,48,1409.928278
11.695749,15,1410.745786
-100.974833,55,1413.539826
70.954375,19,1414.543374
-1510.57882,71,1418.000334
-369.095186,121,1424.116394
122.790622,45,1426.298983
-1563.121378,390,1445.143295
-2.288597,11,1445.773789
-1206.12865,90,1450.194144
-76.930901,40,1452.178578
31.408297,16,1453.046133
60.339515,25,1454.295223
526.575036,162,1462.302305
28.944756,37,1464.154082
-160.427614,18,1465.100911
15.910223,12,1465.722995
-2983.70598,154,1473.277705
-203.683947,24,1474.480657
-1282.563306,140,1481.419912
11.875493,16,1482.264191
13.299739,16,1483.120776
-2962.204348,285,1497.472129
-1253.181293,162,1505.395876
-1.858564,11,1506.043997
-1264.639263,168,1514.29918
13.884763,15,1515.099723
-12.395,11,1515.741675
32.425438,20,1516.768172
12.645591,13,1517.531472
-705.901815,128,1523.848717
-275.661858,62,1526.856125
-1403.759409,167,1534.956626
17.047378,14,1535.722499
-22.033376,114,1541.35496
-372.254112,50,1543.881377
23.414867,14,1544.635319
76.658542,75,1548.552183
77.292822,21,1549.635318
43.413258,34,1551.301602
-887.873064,153,1563.686369
32.982515,20,1564.726694
48.114082,23,1565.90248
-89.266442,43,1568.01496
48.168318,17,1568.870795
175.268138,26,1570.251503
16.539792,18,1571.261657
152.373172,36,1573.092329
13.344099,14,1573.824023
38.824418,15,1574.620991
-2747.412027,205,1584.737795
49.652538,17,1585.624616
-331.213781,92,1590.220604
60.508414,20,1591.268936
-73.893136,56,1594.120546
16.056622,17,1595.031254
7.9325,14,1595.769136
73.089334,17,1596.678578
53.457263,31,1598.297125
-527.749968,295,1612.535301
-2078.200745,321,1627.926572
22.369459,14,1628.67269
-283.895158,68,1632.026138
-46.766775,51,1634.554358
-677.193088,44,1636.782045
95.232263,21,1637.851072
-204.274984,18,1638.828678
87.925499,25,1640.11618
-1155.325546,512,1665.009752
75.383408,23,1666.189649
22.086106,45,1668.443976
45.236557,17,1669.357022
19.887265,14,1670.107532
-309.493807,260,1682.829659
-15.977821,41,1684.848613
-431.744075,108,1690.173938
-415.830554,96,1694.861346
-633.568083,208,1704.875691
-529.858912,78,1708.693029
52.174248,43,1710.865409
-238.918495,177,1719.272163
-167.1824,63,1722.365685
50.973849,24,1723.604465
-335.63789,323,1739.28952
206.921023,39,1741.29485
-317.663497,26,1742.621932
-562.85841,117,1748.344218
-1740.550913,163,1756.210542
55.45983,17,1757.089508
157.865871,61,1760.018266
-686.327665,145,1767.250985
125.409657,167,1775.424822
-1693.065197,188,1784.524047
-4.130599,54,1787.265685
11.068887,36,1789.11498
12.673496,19,1790.112589
-79.320679,143,1797.002009
-926.392645,77,1800.766973
64.438352,65,1805.93097
26.582231,15,1806.703743
82.214376,25,1807.964119
-874.952621,229,1818.897091
71.59945,18,1819.827381
-779.410558,139,1826.636467
69.675683,21,1827.710484
175.994091,53,1830.394056
18.265717,14,1831.142772
-298.606618,74,1834.82464
-236.553318,26,1836.181766
25.420538,13,1836.878543
31.834253,16,1837.75451
55.928701,19,1838.736413
80.492312,97,1843.529102
-711.370488,65,1846.818846
18.194202,44,1848.951293
4.482345,11,1849.594925
-20.100222,39,1851.651119
-145.738348,17,1852.53802
32.614855,17,1853.428329
3.405738,44,1855.640889
-1402.526191,267,1869.253122
93.632664,22,1870.397617
93.219673,125,1876.581948
21.611831,19,1877.556365
26.867521,16,1878.430262
305.838121,40,1880.447424
16.127546,12,1881.097237
-2100.661963,98,1886.009232
101.826575,74,1889.653832
-1253.722536,210,1899.933825
29.832264,48,1902.335031
38.251088,15,1903.196202
-164.499225,64,1906.33196
-370.881901,158,1913.990408
46.759884,15,1914.770721
127.822888,21,1915.875366
149.373921,96,1920.540287
-1149.81961,134,1927.018511
-127.756126,45,1929.309348
15.062472,20,1930.334324
6.579834,16,1931.140385
-74.499569,29,1932.645887
-3423.792479,221,1943.594627
-138.730908,47,1945.933419
80.116137,22,1947.063208
-167.372884,21,1948.139247
6.032418,35,1949.882208
94.041995,62,1952.911234
-1013.459172,213,1963.067257
-2400.383511,169,1971.443923
-92.02125,50,1973.911101
-422.796532,134,1980.454517
304.471707,111,1985.997082
9.817779,14,1986.766256
-12.59508,57,1989.651733
-155.970665,55,1992.327141
7.367924,12,1992.948383
-130.604818,20,1994.00506
-1068.522443,45,1996.225862
-13.05988,11,1996.845307
-240.273837,93,2001.464635
0.90413,16,2002.335458
71.582291,28,2003.838967
26.893808,14,2004.599235
-886.389665,104,2009.721355
-15.492736,12,2010.370038
11.001337,12,2011.007648
5.842931,13,2011.722988
-757.586712,153,2019.170395
49.636074,21,2020.254071
33.238546,17,2021.155003
41.522609,16,2021.967822
62.670131,52,2024.500698
4.614807,12,2025.158073
26.754172,18,2026.099571
-36.807965,179,2034.949992
-127.638879,92,2039.390862
11.950413,13,2040.113202
306.418175,99,2044.968799
-169.133859,18,2045.949602
24.229199,14,2046.682695
-1047.129933,84,2050.923141
127.34524,24,2052.166387
12.435339,11,2052.772537
19.590289,14,2057.722052
32.60813,16,2058.550568
20.609985,16,2059.389868
-278.088087,93,2064.048032
-233.181009,52,2066.70153
30.778254,14,2067.452138
48.216051,28,2068.86066
-953.468988,74,2072.684527
83.253746,22,2073.806202
47.416637,36,2075.649725
-335.985353,112,2081.092847
50.139914,16,2081.958337
19.008217,14,2082.691656
-266.705837,82,2086.660594
74.019747,17,2087.545985
84.888739,19,2088.49209
19.556584,12,2089.161971
113.005401,75,2092.932027
20.656944,15,2093.790652
96.131722,36,2095.881716
-6582.882404,318,2111.837956
28.20489,14,2112.615254
34.920398,67,2115.928788
56.784916,18,2116.8587
5.865965,11,2117.439707
39.44331,14,2118.159035
-5.542283,35,2119.924708
13.013558,13,2120.634015
120.503035,24,2121.870302
-361.036759,129,2128.055519
41.991912,16,2128.873676
8.030636,15,2129.685186
42.361583,14,2130.41822
-3580.380941,407,2150.763816
9.481182,133,2157.143711
21.329814,15,2157.985686
29.106692,15,2158.843344
47.006855,16,2159.708887
210.200286,95,2164.607021
-1.986683,14,2165.367435
-214.210547,106,2170.661672
-349.343882,96,2175.333398
11.480782,12,2175.99557
-1056.232103,65,2179.235681
-196.168675,17,2180.139373
-912.437091,189,2189.537651
7.570248,12,2190.231599
26.466063,20,2191.293325
-816.955302,141,2198.262255
-376.181435,123,2204.451365
115.456565,56,2207.223791
-223.367694,105,2212.488097
22.871784,14,2213.263089
27.224365,19,2214.268159
22.880889,13,2214.964934
34.103535,18,2215.899844
15.521977,12,2216.594071
146.103677,24,2217.874009
-861.031899,52,2220.693105
53.287789,24,2222.033742
-846.873256,225,2232.922043
-85.747236,116,2238.661573
-73.653812,85,2242.773433
-190.262398,23,2243.940147
46.434914,34,2245.608918
14.232639,57,2248.475837
-124.327055,18,2249.393559
-18.360136,18,2250.328008
-4.930688,14,2251.060424
-52.796601,52,2253.54403
-2370.176587,332,2269.341552
-378.446525,29,2270.76105
45.124505,93,2275.22302
21.748747,13,2275.996645
309.363503,147,2283.202423
-106.636686,105,2288.169494
-5.572314,13,2288.836044
143.163355,88,2293.093898
12.585414,12,2293.74541
48.68158,19,2294.716979
4.753216,15,2295.509233
-69.555832,39,2297.42367
2.268133,12,2298.082272
14.321657,12,2298.734374
-9.185162,19,2299.69582
-197.045092,19,2300.69179
-354.363189,96,2305.387371
63.681979,19,2306.354851
18.09087,18,2307.267894
24.41063,14,2309.805028
33.221681,17,2310.714498
83.995409,20,2311.833312
-42.381054,40,2313.817988
-61.440323,64,2317.044847
86.981558,45,2319.321851
251.789092,75,2322.857992
104.79051,20,2323.886076
-363.897229,35,2325.761144
44.201982,17,2326.648838
-157.075865,19,2327.600244
2.542542,16,2328.458661
-615.674687,70,2331.843102
49.229673,18,2332.75621
18.463959,14,2333.496258
-227.341275,27,2334.840542
23.121162,14,2335.581832
5.657717,13,2336.265115
39.229516,14,2336.995875
71.09501,20,2337.996922
-145.383908,19,2338.965033
38.816663,14,2339.691126
15.071577,81,2343.539875
26.630334,13,2344.208035
7.628781,13,2344.896357
-264.019076,27,2346.231079
31.413389,19,2347.205697
51.720946,38,2349.01722
69.210321,64,2352.130068
23.29572,14,2352.851789
-843.583336,222,2363.555008
27.978842,16,2364.379214
93.561266,87,2368.575244
25.956745,16,2369.404255
67.959048,28,2370.808903
-522.968163,183,2379.672147
-95.737122,15,2380.425856
50.99241,16,2381.265001
-575.22758,135,2387.952864
20.030905,19,2388.931826
4.966408,11,2389.520086
5.30955,18,2390.442664
-25.97117,19,2391.41057
42.569579,17,2392.288216
-598.294706,193,2401.441759
