#{"t_start": 1776966452.5008118, "env_id": "None"}
r,l,t
22.951395,28,2462.908776
112.048542,103,2467.547743
15.569522,22,2468.566265
60.282181,61,2471.354753
38.789236,43,2473.366058
85.243978,83,2477.115175
35.830194,40,2479.043593
61.177684,63,2481.885884
49.122936,57,2484.484662
34.790954,39,2486.276433
51.99724,55,2488.790445
31.868815,36,2490.454754
41.015251,43,2492.519254
85.764839,86,2496.436377
99.701624,94,2500.722193
85.212302,90,2504.812632
66.361148,67,2507.86315
36.322803,42,2509.77619
101.680427,96,2514.193772
18.970855,25,2515.334409
18.547416,24,2516.439042
63.406517,68,2520.735762
9.342455,18,2521.570878
41.34044,46,2523.679507
57.879269,59,2526.359053
20.241595,26,2527.521119
70.502778,69,2530.609039
49.158429,55,2533.078878
88.840113,89,2537.120253
42.984114,46,2539.23932
22.232443,27,2540.488833
103.091246,96,2544.912113
37.453136,40,2546.774613
84.294387,86,2550.712829
33.137395,38,2552.433996
36.155557,40,2554.198252
61.863502,62,2557.018795
66.079092,66,2560.005621
75.18768,97,2564.456147
54.108149,56,2567.053321
105.368374,98,2571.51661
35.473461,41,2573.400533
91.860952,89,2577.468147
67.377439,69,2580.590702
40.930537,46,2582.694739
30.319075,34,2584.286971
29.828724,35,2585.858586
15.800318,22,2586.85577
54.738494,56,2589.405514
55.102006,56,2591.92229
18.789245,25,2593.058698
93.185038,94,2597.322394
50.086983,53,2599.775532
18.988931,26,2600.963195
21.949093,27,2602.215957
63.882612,67,2605.24579
37.077809,43,2607.209584
63.657678,64,2610.096163
43.833713,48,2612.324608
22.557428,29,2613.683089
12.689763,20,2614.584601
23.648745,29,2615.917078
59.228637,60,2618.619612
41.717684,47,2620.775116
40.851266,46,2622.89046
56.364552,59,2625.547281
25.344159,32,2627.007106
66.518317,67,2630.057822
70.925517,70,2633.26202
